name,mag,e_mag
1740346,12.022,0.021
2m003618,11.588,0.03
2m055914,13.679,0.044
agk_81d266,12.844,0.033
bd02d3375,8.537,0.044
bd11d3759,6.262,0.044
bd_17d4708,8.108,0.046
bd26d2606,8.394,0.023
bd54d1216,8.386,0.017
bd_75d325,10.425,0.017
feige110,12.663,0.027
feige34,11.563,0.021
g191b2b,12.669,0.025
gd153,14.209,0.037
gd71,13.901,0.035
gj7541a,12.355,0.025
grw_70d5824,13.357,0.027
hd009051,6.831,0.047
hd031128,7.8,0.027
hd074000,8.4,0.034
hd106252,6.016,0.047
hd128998,5.801,0.049
hd142331,7.176,0.038
hd14943,5.491,0.02
hd159222,5.076,0.027
hd160617,7.365,0.036
hd165459,6.626,0.033
hd172728,5.773,0.044
hd185975,6.573,0.023
hd200654,7.252,0.036
hd200775,5.465,0.031
hd209458,6.366,0.038
hd2811,7.129,0.024
hd60753,6.807,0.059
hd93521,7.647,0.016
hz4,14.866,0.059
hz44,12.569,0.023
kf06t2,11.273,0.019
kf08t3,11.09,0.019
snap2,14.589,0.052
vb8,9.201,0.024
wd0148_467,12.826,0.032
wd0227_050,13.367,0.033
wd0809_177,13.841,0.036
wd1105_048,13.445,0.03
wd1105_340,13.982,0.039
wd1202_232,12.301,0.027
wd1713_695,13.72,0.029
wd1911_536,13.734,0.046
wd2039_682,13.806,0.039
wd2117_539,12.785,0.023
wd2126_734,13.164,0.038
wd2149_021,13.286,0.037
wd2341_322,13.195,0.037
