name,mag,e_mag
1740346,12.079,0.023
2m003618,12.466,0.027
2m055914,13.802,0.024
agk_81d266,12.692,0.021
bd02d3375,8.799,0.021
bd11d3759,6.838,0.019
bd_17d4708,8.435,0.056
bd26d2606,8.676,0.027
bd54d1216,8.617,0.021
bd_75d325,10.261,0.018
feige110,12.548,0.026
feige34,11.643,0.022
g191b2b,12.543,0.021
gd153,14.012,0.025
gd71,13.728,0.025
gj7541a,12.351,0.026
grw_70d5824,13.248,0.024
hd009051,7.289,0.02
hd031128,8.032,0.023
hd074000,8.716,0.034
hd106252,6.302,0.024
hd128998,5.756,0.018
hd142331,7.476,0.021
hd14943,5.585,0.032
hd159222,5.342,0.021
hd160617,7.628,0.02
hd165459,6.637,0.046
hd172728,5.725,0.02
hd185975,6.863,0.021
hd200654,7.648,0.018
hd200775,6.111,0.03
hd209458,6.591,0.02
hd2811,7.144,0.026
hd60753,6.778,0.03
hd93521,7.499,0.02
hz4,14.831,0.041
hz44,12.386,0.022
kf06t2,11.899,0.021
kf08t3,11.585,0.019
snap2,14.969,0.044
vb8,9.776,0.029
wd0148_467,12.768,0.024
wd0227_050,13.282,0.026
wd0809_177,13.762,0.025
wd1105_048,13.405,0.026
wd1105_340,13.954,0.028
wd1202_232,12.402,0.024
wd1713_695,13.618,0.023
wd1911_536,13.616,0.029
wd2039_682,13.729,0.026
wd2117_539,12.681,0.021
wd2126_734,13.096,0.031
wd2149_021,13.203,0.024
wd2341_322,13.171,0.029
