name,mag,e_mag
1740346,11.996,0.022
2m003618,11.058,0.021
2m055914,13.577,0.052
agk_81d266,12.985,0.035
bd02d3375,8.498,0.038
bd11d3759,5.939,0.034
bd_17d4708,8.075,0.038
bd26d2606,8.352,0.02
bd54d1216,8.329,0.015
bd_75d325,10.549,0.017
feige110,12.796,0.034
feige34,11.54,0.019
g191b2b,12.764,0.023
gd153,14.308,0.062
gd71,14.115,0.065
gj7541a,12.421,0.026
grw_70d5824,13.451,0.035
hd009051,6.707,0.016
hd031128,7.738,0.018
hd074000,8.39,0.023
hd106252,5.929,0.026
hd128998,5.756,0.018
hd142331,7.125,0.034
hd14943,5.439,0.018
hd159222,4.998,0.016
hd160617,7.311,0.024
hd165459,6.584,0.027
hd172728,5.753,0.017
hd185975,6.475,0.027
hd200654,7.154,0.02
hd200775,4.651,0.017
hd209458,6.308,0.026
hd2811,7.057,0.024
hd60753,6.83,0.029
hd93521,7.696,0.024
hz4,15.061,0.099
hz44,12.672,0.027
kf06t2,11.149,0.023
kf08t3,10.987,0.023
snap2,14.489,0.074
vb8,8.816,0.023
wd0148_467,12.846,0.03
wd0227_050,13.425,0.036
wd0809_177,13.941,0.051
wd1105_048,13.544,0.056
wd1105_340,14.054,0.066
wd1202_232,12.342,0.026
wd1713_695,13.739,0.055
wd1911_536,13.824,0.047
wd2039_682,13.8,0.05
wd2117_539,12.85,0.038
wd2126_734,13.166,0.044
wd2149_021,13.397,0.037
wd2341_322,13.179,0.028
