name,mag,e_mag
1740346,12.549761,0.0014390405893905521
agk_81d266,11.685797,0.0012966680289025377
bd_75d325,9.302373,9.515552346178434E-4
delumi,4.3420925,9.585419624574377E-4
feige110,11.613717,0.0016227163491227474
feige34,10.930273,0.001235678737782527
hd009051,9.132611,3.5331943549263593E-4
hd128998,5.813059,0.0010071754210075788
hd165459,6.8960466,3.7514875518238967E-4
hd172728,5.6931252,0.0012782010757834558
hd200775,7.434165,0.001466395848270764
hd209458,7.7932835,4.8298945329725945E-4
hd2811,7.571191,3.773133203105704E-4
hd60753,6.6062956,0.0010785016121116783
hd93521,6.8313384,9.761395014993597E-4
hz43b,14.2031555,0.05548363221494461
kf06t2,14.229316,3.3474260936221207E-4
kf08t3,13.536777,3.586459725972128E-4
ksi2ceti,4.2396884,0.0014561012814424481
ngc6681_4,14.383014,0.01889558041287669
ngc6681_5,14.383014,0.01889558041287669
ngc6681_7,14.424412,0.010894738717569562
ngc6681_11,13.671167,0.0139771010600022
sigori,3.642562,0.0016666319973846018
wd1057_719,14.541228,0.0016484956932566047
