name,mag,e_mag
1740346,12.290188,6.071985092199769E-4
agk_81d266,12.22437,4.4935166507245226E-4
bd_75d325,9.829913,3.805818335666226E-4
feige110,12.102808,5.506782798617557E-4
feige34,11.41962,3.9168955469579925E-4
hd009051,8.061539,2.7189566413644026E-4
hd165459,6.7397447,4.614676249060825E-4
hd200775,6.7113237,0.0020317845759390677
hd209458,7.080288,5.955060947888348E-4
hd2811,7.3364954,3.774808371465957E-4
hd60753,6.69714,6.530290874832409E-4
hd93521,7.2043676,0.0013967650951428139
hz43b,11.98991,0.005640119777816446
kf06t2,12.875395,2.1135583974899342E-4
kf08t3,12.394887,1.9571849429073508E-4
ngc6681_4,13.824448,0.006137296991520987
ngc6681_5,13.824448,0.006137296991520987
ngc6681_7,13.351551,0.007516308161722508
ngc6681_11,12.560839,0.005718965862671257
