name,mag,e_mag
1740346,16.858,0.033
1802271,15.04,0.013
1805292,16.799,0.032
hd101452,14.938,0.016
hs2027,15.077,0.013
hz4,14.59,0.012
lds749b,15.713,0.02
sdss132811,17.549,0.071
wd1105_340,14.06,0.011
wd1657_343,14.601,0.011
wdfs0122_30,16.937,0.036
wdfs0248_33,17.251,0.048
wdfs0458_56,16.317,0.026
wdfs1055_36,16.71,0.044
wdfs1110_17,16.395,0.034
wdfs1214_45,16.19,0.033
wdfs1302_10,15.528,0.017
wdfs1434_28,17.454,0.056
wdfs1814_78,15.127,0.012
wdfs1930_52,16.012,0.021
wdfs2317_29,17.413,0.041
wdfs2351_37,16.927,0.034
