name,mag,e_mag
1743045,16.5746,0.0192
1757132,15.0475,0.0099
1802271,14.0966,0.006
1805292,14.8109,0.0079
hd009051,14.8284,0.008
hd115169,14.6301,0.0062
hd142331,14.4819,0.0094
hs2027,15.7207,0.0087
hz4,14.611,0.0074
lds749b,14.8249,0.0082
p041c,17.2684,0.0322
sdss132811,17.4098,0.0368
wd1202_232,14.1811,0.0055
wd1657_343,15.0065,0.0061
wdfs0122_30,17.5031,0.0243
wdfs0248_33,17.3534,0.025
wdfs0458_56,16.7887,0.0203
wdfs1055_36,17.2276,0.0343
wdfs1110_17,16.8808,0.0273
wdfs1214_45,16.736,0.024
wdfs1302_10,15.9904,0.0103
wdfs1814_78,15.5709,0.0114
wdfs1930_52,16.5652,0.0169
wdfs2317_29,17.749,0.0243
wdfs2351_37,17.496,0.0286
