name,mag,e_mag
c26202,16.6689,0.0037
gj7541a,12.2706,0.001
hs2027,16.4824,0.0058
hz21,14.4419,0.0064
kf06t2,14.4058,0.0023
kf08t3,13.6656,0.001
ngc2506g31,18.1982,0.0069
sdss132811,17.0409,0.0017
sf1615_001a,16.9875,0.004
snap2,16.4429,0.0052
wd0809_177,13.3339,0.001
wd1919_145,12.9423,0.0076
wd1057_719,14.5444,0.0022
wd1657_343,16.2297,0.0037
wdfs0248_33,18.3783,0.0044
wdfs1110_17,17.9041,0.0108
wdfs1206_27,16.4907,0.0083
wdfs1214_45,17.7959,0.0025
wdfs1302_10,17.0564,0.003
wdfs1434_28,17.9908,0.0063
wdfs1514_00,15.7281,0.002
wdfs1557_55,17.4919,0.0056
wdfs1814_78,16.5897,0.0037
wdfs2317_29,18.3914,0.0053
wdfs2351_37,18.1071,0.0063
