name,mag,e_mag
c26202,16.2582,0.0037
hs2027,17.2273,0.0037
hz21,15.3045,0.0044
hz43b,12.638,0.001
ngc2506g31,17.6195,0.0022
sdss132811,17.4793,0.0027
sf1615_001a,16.3815,0.0022
snap2,15.9117,0.0027
wd0227_050,13.3411,0.0024
wd0809_177,13.8751,0.0061
wd1919_145,13.4768,0.001
wd1057_719,15.3559,0.0018
wd1657_343,17.0739,0.0022
wdfs0248_33,19.0177,0.0077
wdfs1110_17,18.6088,0.0078
wdfs1206_27,17.2476,0.0113
wdfs1214_45,18.5849,0.0069
wdfs1302_10,17.8533,0.0076
wdfs1434_28,18.5698,0.0059
wdfs1514_00,16.4343,0.0025
wdfs1557_55,18.3534,0.0038
wdfs1814_78,17.3615,0.0034
wdfs2317_29,19.0482,0.0107
wdfs2351_37,18.7663,0.0059
