name,mag,e_mag
c26202,16.3649,0.0047
hs2027,16.8467,0.002
hz21,14.9224,0.0071
hz43b,13.8003,0.0073
kf06t2,13.6133,0.0037
ngc2506g31,17.7629,0.0089
sdss132811,17.252,0.0034
sf1615_001a,16.5604,0.0023
snap2,16.0533,0.0029
wd0148_467,12.6595,0.001
wd0809_177,13.5975,0.0028
wd1919_145,13.172,0.001
wd2149_021,13.6738,0.0045
wd1057_719,14.9803,0.0019
wdfs0248_33,18.7318,0.0062
wdfs1110_17,18.2921,0.0076
wdfs1206_27,16.9022,0.0032
wdfs1214_45,18.2253,0.0063
wdfs1302_10,17.5018,0.0043
wdfs1434_28,18.284,0.0067
wdfs1514_00,16.1113,0.0052
wdfs1557_55,17.9847,0.0081
wdfs1814_78,16.9994,0.0035
wdfs2317_29,18.7313,0.0112
wdfs2351_37,18.4542,0.008
