name,mag,e_mag
c26202,16.2504,0.0027
gj7541a,12.7774,0.001
hs2027,17.4785,0.0046
hz21,15.5881,0.0029
hz43b,11.9509,0.001
kf06t2,13.0928,0.0013
ngc2506g31,17.5921,0.0069
sdss132811,17.7079,0.0057
sf1615_001a,16.3142,0.0031
snap2,15.873,0.0019
wd0148_467,13.1533,7.0E-4
wd0227_050,13.5756,0.0031
wd0809_177,14.1194,0.0017
wd1919_145,13.6982,0.0027
wd2149_021,13.5114,0.0016
wd1057_719,15.6467,0.0025
wd1657_343,17.3745,0.0074
wdfs1110_17,18.9042,0.0081
wdfs1206_27,17.5272,0.0056
wdfs1302_10,18.1211,0.006
wdfs1434_28,18.7705,0.0125
wdfs1514_00,16.7051,0.0039
wdfs1557_55,18.6391,0.0066
wdfs1814_78,17.6349,0.0069
