name,mag,e_mag
c26202,17.7868,0.0068
feige110,11.0808,0.034
hd009051,10.8381,0.002
hd2811,8.8588,0.0448
hd38949,9.2062,0.0172
hs2027,15.9032,0.0839
sf1615_001a,18.3444,0.0553
wd0227_050,12.6762,0.0687
wd1919_145,13.0169,0.0521
wdfs0122_30,18.0739,0.0282
wdfs0639_57,17.715,0.0156
wdfs0956_38,17.8565,0.0258
wdfs1055_36,17.6963,0.0214
wdfs1110_17,17.4378,0.0204
wdfs1206_27,16.1054,0.0131
wdfs1302_10,16.4903,0.0749
wdfs1434_28,18.0206,0.0562
wdfs1514_00,15.4583,0.0125
wdfs1535_77,16.0555,0.014
wdfs1837_70,17.812,0.0272
wdfs1930_52,17.0905,0.0442
wdfs2317_29,18.1711,0.0194
