name,mag,e_mag
c26202,17.4492,0.0068
feige110,11.2678,0.0402
hd009051,10.3719,0.0018
hd38949,8.876,0.0193
hd55677,9.8361,0.0324
hs2027,16.1588,0.0467
ngc2506g31,19.3022,0.0998
sf1615_001a,17.8917,0.0352
wd0227_050,12.7686,0.0304
wd1919_145,13.152,0.0287
wdfs0122_30,18.2572,0.0326
wdfs0639_57,17.9171,0.0174
wdfs0956_38,17.9419,0.0312
wdfs1055_36,17.8691,0.021
wdfs1110_17,17.6066,0.0239
wdfs1206_27,16.2808,0.0129
wdfs1302_10,16.6991,0.0814
wdfs1434_28,18.1635,0.0538
wdfs1514_00,15.6282,0.0127
wdfs1535_77,16.2554,0.0119
wdfs1837_70,17.8681,0.0241
wdfs1930_52,17.2593,0.0721
wdfs2317_29,18.2569,0.0227
