name,mag,e_mag
109vir,3.72,0.014
10lac,4.599,0.014
16cygb,6.963,0.015
bd60d1753,9.739,0.022
bd_75d325,9.139,0.017
delumi,4.38,0.014
eta1dor,5.681,0.014
hd009051,9.922,0.023
hd031128,9.638,0.02
hd101452,7.91,0.016
hd115169,10.048,0.029
hd116405,8.273,0.015
hd128998,5.818,0.014
hd142331,9.532,0.023
hd14943,6.149,0.014
hd158485,6.653,0.015
hd163466,7.085,0.015
hd165459,7.02,0.015
hd167060,9.708,0.023
hd172728,5.671,0.014
hd180609,9.609,0.022
hd185975,8.939,0.016
hd200775,7.819,0.015
hd209458,8.334,0.017
hd2811,7.708,0.015
hd37725,8.562,0.018
hd38949,8.493,0.014
hd55677,9.498,0.021
hd60753,6.567,0.015
hd93521,6.712,0.014
ksi2ceti,4.223,0.014
lamlep,3.966,0.014
mucol,4.814,0.014
sigori,3.521,0.014
