name,mag,e_mag
109vir,3.716,0.009
10lac,4.839,0.009
16cygb,6.231,0.01
bd60d1753,9.659,0.023
bd_75d325,9.453,0.018
delumi,4.34,0.009
eta1dor,5.688,0.009
hd009051,9.011,0.015
hd031128,9.197,0.016
hd101452,7.556,0.011
hd115169,9.28,0.021
hd116405,8.323,0.011
hd128998,5.816,0.009
hd142331,8.82,0.018
hd14943,5.924,0.009
hd158485,6.511,0.01
hd163466,6.875,0.01
hd165459,6.875,0.01
hd167060,8.996,0.017
hd172728,5.718,0.009
hd180609,9.439,0.021
hd185975,8.179,0.011
hd200775,7.467,0.011
hd209458,7.699,0.012
hd2811,7.541,0.01
hd37725,8.333,0.013
hd38949,7.87,0.01
hd55677,9.419,0.024
hd60753,6.665,0.01
hd93521,6.985,0.01
ksi2ceti,4.261,0.009
lamlep,4.239,0.009
mucol,5.114,0.009
sigori,3.763,0.009
