Star_name,Note,Sp_Type,G,V,B-V,Name,Model,STIS,Var
109 VIR,,A0III,,3.73,-0.01,109vir,_mod_005,_stis_005,
10 LAC,,O9V,,4.88,-0.21,10lac,_mod_006,_stis_008,<0.23
16 CYG B,,G3V,,6.20,0.66,16cygb,_mod_005,_stis_005,<0.21
18 SCO,,G2V,,5.50,0.65,18sco,_mod_006,_stis_006,
1732526,,A4V,,12.53,0.12,1732526,_mod_007,_stisnic_009,1.40
1740346,2,A6V,,12.48,0.20,1740346,,_stisnic_005,
1743045,,A8III,,13.52,0.28,1743045,_mod_007,_stisnic_009,<1.32
1757132,,A3V,,12.01,-0.10,1757132,_mod_007,_stiswfc_006,<0.37
1802271,,A2V,,11.53,0.02,1802271,_mod_007,_stiswfcnic_006,<0.82
1805292,,A4V,,12.28,0.14,1805292,_mod_006,_stisnic_008,<0.49
1808347,,A3V,,11.69,0.49,1808347,_mod_007,_stiswfc_006,1.65
1812095,,A3V,,12.01,-0.07,1812095,_mod_006,_stisnic_008,1.57
2M0036+18,,L3.5,,J=12.47,...,2m003618,,_stiswfcnic_006,
2M0559-14,,T4.5,,J=13.80,...,2m055914,,_stiswfcnic_005,
AGK+81 266,,sdO,,11.95,-0.36,agk_81d266,,_stisnic_007*,
ALPHA LYR,,A0V,,0.03,0.00,alpha_lyr,_mod_004,_stis_011*,
BD+02 3375,,A5,,9.93,0.45,bd02d3375,_mod_005,_stis_008,
BD-11 3759,,M3.5V,,11.32,1.60,bd11d3759,,_stis_003,
BD+17 4708,3,sdF8,,9.47,0.44,bd_17d4708,,_stisnic_007,
BD+21 0607,,F2,,9.22,0.44,bd21d0607,_mod_004,_stis_007,
BD+26 2606,,A5,,9.73,0.39,bd26d2606,_mod_005,_stis_008,
BD+29 2091,,F5,,10.22,0.50,bd29d2091,_mod_004,_stis_007,
BD+54 1216,,sdF6,,9.71,0.48,bd54d1216,_mod_003,_stis_006,
BD+60 1753,,A1V,,9.65,0.07,bd60d1753,_mod_006,_stiswfc_005,<0.17
BD+75 325,,sdO5,,9.55,-0.33,bd_75d325,,_stis_006*,
C26202,,F8IV,,16.64,0.26,c26202,_mod_008,_stiswfcnic_007,
DELTA UMI,,A1V,,4.34,0.03,delumi,_mod_005,_stis_005,0.04
ETA1 DOR,,A0V,,5.69,-0.01,eta1dor,_mod_005,_stis_005,0.18
ETA UMA,,B3V,,1.85,-0.10,etauma,_mod_005,_stis_008,
FEIGE110,,sdO,,11.83,-0.30,feige110,,_stisnic_008*,
FEIGE34,,sdO,,11.14,-0.23,feige34,,_stis_006*,
G191B2B,,DA.8,,11.781,-0.33,g191b2b,_mod_012,_stiswfcnic_004*,
GD153,,DA1.2,,13.349,-0.29,gd153,_mod_012,_stiswfcnic_004,
GD71,,DA1.5,,13.032,-0.25,gd71,_mod_012,_stiswfcnic_004,
GJ754.1A,,DBQA5,,12.29,0.05,gj7541a,_mod_001,_stis_004,
GRW+70 5824,,DA2.4,,12.60,-0.06,grw_70d5824,_mod_001,_stiswfcnic_003,
HD009051,,G7III,,8.92,0.81,hd009051,_mod_006,_stis_009,
HD031128,,F4V,,9.14,0.41,hd031128,_mod_004,_stis_007,
HD074000,,sdF6,,9.66,0.45,hd074000,_mod_004,_stis_007,
HD101452,,A2/3,,8.20,-0.36,hd101452,_mod_005,_stis_005,<0.09
HD106252,,G0,,7.36,0.64,hd106252,_mod_007,_stis_009,
HD111980,11,F7V,,8.38,0.53,hd111980,_mod_004,_stis_007,
HD115169,,G3V,,9.20,0.69,hd115169,_mod_005,_stis_005,<0.11
HD116405,,A0V,,8.34,-0.07,hd116405,_mod_006,_stis_008,<0.10
HD128998,,A1V,,5.83,0.00,hd128998,_mod_004,_stis_004,0.05
HD142331,,G5V,,8.75,0.64,hd142331,_mod_006,_stis_006,
HD14943,,A5V,,5.91,0.19,hd14943,_mod_004,_stis_006,0.05
HD158485,,A4V,,6.50,0.13,hd158485,_mod_005,_stis_007,0.42
HD159222,,G1V,,6.56,0.65,hd159222,_mod_007,_stis_009,
HD160617,,F,,8.73,0.45,hd160617,_mod_003,_stis_006,
HD163466,,A6V,,6.85,0.19,hd163466,_mod_005,_stis_007,0.17
HD165459,5,A4V,,6.86,0.13,hd165459,_mod_005,_stisnic_007,
HD167060,,G3V,,8.92,0.64,hd167060,_mod_006,_stis_006,<0.09
HD172728,,A0V,,5.74,-0.05,hd172728,_mod_004,_stis_004,
HD180609,10,A0V,,9.42,0.15,hd180609,_mod_006,_stis_008,<0.13
HD185975,,G3V,,8.10,0.68,hd185975,_mod_005,_stis_008,
HD200654,,G,,9.11,0.63,hd200654,_mod_005,_stis_008,
HD200775,,B2Ve,,7.43,0.33,hd200775,,_stis_001,
HD205905,,G2V,,6.74,0.62,hd205905,_mod_008,_stis_010,0.26
HD209458,6,G0V,,7.65,0.59,hd209458,_mod_003,_stisnic_008,
HD2811,,A3V,,7.50,0.17,hd2811,_mod_006,_stis_006,
HD37725,,A3V,,8.31,-0.19,hd37725,_mod_007,_stiswfc_006,0.13
HD37962,,G2V,,7.85,0.65,hd37962,_mod_009,_stis_011,<0.09
HD38949,,G1V,,7.80,0.57,hd38949,_mod_007,_stis_009,1.17
HD55677,,A4V,,9.41,0.06,hd55677,_mod_006,_stis_006,0.24
HD60753,7,B3IV,,6.68,-0.09,hd60753,,_stis_004,
HD93521,,O9Vp,,6.99,-0.27,hd93521,_mod_003,_stis_007*,
HS2027+0651,,DO,,16.9,...,hs2027,,_stis_006,
HZ4,,DA3.4,,14.51,0.09,hz4,_mod_001,_stis_009,
HZ21,,DO2,,14.69,-0.33,hz21,,_stis_007,
HZ43,8,DA,,12.91,-0.31,hz43,,_stis_005*,
HZ43B,8,M3Ve,,14.30,...,hz43b,,_stis_005,
HZ44,,sdB,,11.65,-0.23,hz44,,_stis_006*,
KF06T2,,K1.5III,,13.80,1.30,kf06t2,_mod_007,_stiswfcnic_006,
KF08T3,,K0.5III,,13.18,1.21,kf08t3,_mod_006,_stisnic_005,
