star_name, ra, dec, vr, pmra, pmdec, simbad_name, alt_simbad_name
10 LAC, 22 39 15.679, +39 03 00.97, -10, -0.32, -5.46,  ,  
109 VIR, 14 46 14.925, +01 53 34.38, -6.1, -114.03, -22.13, HD130109,  
16 CYG B, 19 41 51.973, +50 31 03.09, -27.7, -134.79, -162.49, HD186427,  
18 SCO, 16 15 37.270, -08 22 09.98, +11.9, 232.16, -495.37, HD146233,  
1732526, 17 32 52.630, +71 04 43.12,  , 0.22, -2.71, 2MASS J17325264+7104431, TYC 4424-1286-1
1740346, 17 40 34.679, +65 27 14.77,  , -5.72, -3.44, 2MASS J17403468+6527148, TYC 4207-219-1
1743045, 17 43 04.486, +66 55 01.66,  , 1.10, -2.79, 2MASS J17430448+6655015,  
1757132, 17 57 13.233, +67 03 40.77,  , 0.41, -14.03, 2MASS J17571324+6703409, TYC 4212-455-1
1802271, 18 02 27.163, +60 43 35.54,  , 5.40, 2.17, 2MASS J18022716+6043356, TYC 4201-1542-12
1805292, 18 05 29.275, +64 27 52.13,  , -1.64, 10.06, 2MASS J18052927+6427520, TYC 4209-1396-1
1808347, 18 08 34.736, +69 27 28.72,  , 4.43, 8.52, 2MASS J18083474+6927286, TYC 4433-1800-1
1812095, 18 12 09.567, +63 29 42.26,  , 4.07, 1.31, 2MASS J18120957+6329423, TYC 4205-1677-1
1812524, 18 12 52.381, +60 02 31.95,  , -3.03, -8.02, 2MASS J18125240+6002319, TYC 4201-1717-1
2M0036+18, 00 36 16.112, +18 21 10.29, +19, 901.56, 124.02, 2MASS J00361617+1821104,  
2M0559-14, 05 59 19.188, -14 04 49.22,  , 570.20, -337.59, 2MASS J05591914-1404488,  
AGK+81 266, 09 21 19.177, +81 43 27.63, 34.11, -11.26, -51.26,  ,  
ALPHA LYR, 18 36 56.336, +38 47 01.28, -21, 200.94, 286.23, Vega, HD172167
BD+02 3375, 17 39 45.595, +02 24 59.61, -398, -366.01, 75.12,  ,  
BD-11 3759, 14 34 16.812, -12 31 10.42, -1, -355.04, 593.22,  ,  
BD+17 4708, 22 11 31.375, +18 05 34.16, -291, 506.37, 60.49,  ,  
BD+21 0607, 04 14 35.516, +22 21 04.25, +340, 425.99, -301.87, HD284248,  
BD+26 2606, 14 49 02.355, +25 42 09.14, +33, -5.88, -347.60,  ,  
BD+28 4211, 21 51 11.022, +28 51 50.37,  , -34.73, -56.85, WD2148+286,  
BD+29 2091, 10 47 23.163, +28 23 55.93, +83, 177.50, -824.83,  ,  
BD+54 1216, 08 19 22.572, +54 05 09.63, +66, -34.20, -628.56, HD233511,  
BD+60 1753, 17 24 52.275, +60 25 50.75, -27.3, 4.89, 3.76,  ,  
BD+75 325, 08 10 49.490, +74 57 57.94, -50, 7.17, 10.30,  ,  
C26202, 03 32 32.843, -27 51 48.58,  ,  ,  , 2MASS J03323287-2751483, [B2010] C26202
DELTA UMI, 17 32 12.997, +86 35 11.26, -7.6, 10.17, 53.97, HD166205,  
ETA UMA, 13 47 32.438, +49 18 47.76, -13, -121.17, -14.91, HD120315,  
ETA1 DOR, 06 06 09.382, -66 02 22.63, +17.6, 13.66, 27.82, HD42525,  
FEIGE110, 23 19 58.400, -05 09 56.17,  , -10.68, 0.31,  ,  
FEIGE34, 10 39 36.738, +43 06 09.21, 11.01, 12.54, -25.41, WD1036+433,  
G191B2B, 05 05 30.618, +52 49 51.92, +22.1, 12.70, -93.42, BD+52 913, EGGR 247 WD0501+527
GD153, 12 57 02.322, +22 01 52.63, +8.3, -38.40, -202.99, WD1254+223,  
GD71, 05 52 27.620, +15 53 13.23, +30, 76.73, -172.96, WD0549+158,  
GJ754.1A, 19 20 34.923, -07 40 00.07,  , -61.28, -161.77, LAWD74, WD1917-077
GRW+70 5824, 13 38 50.478, +70 17 07.64, +26, -402.08, -24.56, LAWD52, WD1337+705
HD2811, 00 31 18.490, -43 36 23.00,  , -6.02, -4.18,  ,  
HD009051, 01 28 46.503, -24 20 25.44, -72, 53.56, -17.03,  ,  
HD14943, 02 22 54.675, -51 05 31.66, +5, 22.33, 66.38, HR 701,  
HD031128, 04 52 09.910, -27 03 50.94, +112, 164.76, -26.52,  ,  
HD37725, 05 41 54.370, +29 17 50.96,  , 15.05, -26.93,  ,  
HD37962, 05 40 51.966, -31 21 03.99, +3, -59.65, -365.23,  ,  
HD38949, 05 48 20.059, -24 27 49.85, +3, -30.44, -35.42,  ,  
HD55677, 07 14 31.290, +13 51 36.79, -2, -2.66, -6.81,  ,  
HD60753, 07 33 27.319, -50 35 03.31, +20, -3.12, 5.31,  ,  
HD074000, 08 40 50.804, -16 20 42.51, +206, 350.82, -484.16,  ,  
HD93521, 10 48 23.512, +37 34 13.09, -14, 0.22, 1.72,  ,  
HD101452, 11 40 13.651, -39 08 47.67,  , -34.17, -20.98,  ,  
HD106252, 12 13 29.510, +10 02 29.89, +16, 22.86, -280.01,  ,  
HD111980, 12 53 15.053, -18 31 20.01, +155, 299.49, -796.09,  ,  
HD115169, 13 15 47.388, -29 30 21.18, +21.2, -110.57, -82.09,  ,  
HD116405, 13 22 45.124, +44 42 53.91, -19, 8.01, -10.29,  ,  
HD128998, 14 38 15.222, +54 01 24.02, -3.0, 17.28, -18.99, HR 5467,  
