name,mag,e_mag
1740346,11.952,0.022
agk_81d266,13.056,0.023
bd_75d325,10.621,0.022
c26202,14.9,0.029
delumi,4.291,0.254
feige110,12.882,0.023
feige34,11.537,0.023
g191b2b,12.816,0.024
hd009051,6.561,0.075
hd128998,5.8,0.135
hd14943,5.415,0.18
hd165459,6.575,0.075
hd172728,5.792,0.129
hd200775,3.35,0.535
hd209458,6.308,0.091
hd2811,6.929,0.056
hd60753,6.827,0.071
hd93521,7.721,0.028
hz21,15.749,0.047
hz44,12.75,0.023
kf06t2,11.067,0.023
kf08t3,10.944,0.023
ksi2ceti,4.306,0.278
sf1615_001a,14.911,0.034
sigori,4.129,0.247
snap2,14.529,0.025
wd0227_050,13.435,0.024
wd1057_719,15.705,0.039
wdfs1514_00,16.799,0.094
