name,ra,dec,simbad_name
109vir,14 46 14.925,+01 53 34.38,HD130109
18sco,16 15 37.270,-08 22 09.98,HD146233
1740346,17 40 34.679,+65 27 14.77,2MASS J17403468+6527148
2m003618,00 36 16.112,+18 21 10.29,2MASS J00361617+1821104
2m055914,05 59 19.188,-14 04 49.22,2MASS J05591914-1404488
agk_81d266,09 21 19.177,+81 43 27.63,
alpha_lyr,18 36 56.336,+38 47 01.28,Vega
bd02d3375,17 39 45.595,+02 24 59.61,
bd11d3759,14 34 16.812,-12 31 10.42,
bd_17d4708,22 11 31.375,+18 05 34.16,
bd21d0607,04 14 35.516,+22 21 04.25,HD284248
bd26d2606,14 49 02.355,+25 42 09.14,
bd29d2091,10 47 23.163,+28 23 55.93,
bd54d1216,08 19 22.572,+54 05 09.63,HD233511
bd_75d325,08 10 49.490,+74 57 57.94,
c26202,03 32 32.843,-27 51 48.58,2MASS J03323287-2751483
delumi,17 32 12.997,+86 35 11.26,HD166205
eta1dor,06 06 09.382,-66 02 22.63,HD42525
etauma,13 47 32.438,+49 18 47.76,HD120315
feige110,23 19 58.400,-05 09 56.17,
feige34,10 39 36.738,+43 06 09.21,WD1036+433
g191b2b,05 05 30.618,+52 49 51.92,BD+52 913
gd153,12 57 02.322,+22 01 52.63,WD1254+223
gd71,05 52 27.620,+15 53 13.23,WD0549+158
gj7541a,19 20 34.923,-07 40 00.07,LAWD74
grw_70d5824,13 38 50.478,+70 17 07.64,LAWD52
hd009051,01 28 46.503,-24 20 25.44,
hd031128,04 52 09.910,-27 03 50.94,
hd074000,08 40 50.804,-16 20 42.51,
hd106252,12 13 29.510,+10 02 29.89,
hd111980,12 53 15.053,-18 31 20.01,
hd128998,14 38 15.222,+54 01 24.02,HR 5467
hd142331,15 54 19.788,-08 34 49.37,
hd14943,02 22 54.675,-51 05 31.66,HR 701
hd158485,17 26 04.837,+58 39 06.83,HR 6514
hd159222,17 32 00.992,+34 16 16.13,HR 6538
hd160617,17 42 49.324,-40 19 15.51,
hd163466,17 52 25.376,+60 23 46.94,
hd165459,18 02 30.741,+58 37 38.16,
hd172728,18 37 33.517,+62 31 35.67,
hd185975,20 28 18.740,-87 28 19.94,
hd200654,21 06 34.751,-49 57 50.28,
hd200775,21 01 36.921,+68 09 47.79,
hd205905,21 39 10.151,-27 18 23.67,
hd209458,22 03 10.773,+18 53 03.55,
hd2811,00 31 18.490,-43 36 23.00,
hd37725,05 41 54.370,+29 17 50.96,
hd55677,07 14 31.290,+13 51 36.79,
hd60753,07 33 27.319,-50 35 03.31,
hd93521,10 48 23.512,+37 34 13.09,
hs2027,20 29 32.506,+07 01 07.70,WD2027+0651
hz4,03 55 21.988,+09 47 18.13,WD0352+096
hz21,12 13 56.264,+32 56 31.36,WD1211+332
