name,by,e_by,m1,e_m1,c1,e_c1
109vir,0.007,0.012,0.138,0.014,1.075,0.011
18sco,0.402,0.005,0.215,0.008,0.342,0.004
bd02d3375,0.354,0.003,0.05,0.005,0.255,0.005
bd_17d4708,0.333,0.006,0.065,0.01,0.318,0.028
bd21d0607,0.322,0.01,0.071,0.008,0.289,0.026
bd26d2606,0.334,0.006,0.054,0.007,0.285,0.008
bd29d2091,0.382,0.008,0.058,0.008,0.158,0.007
bd54d1216,0.338,0.003,0.071,0.007,0.262,0.022
etauma,-0.082,0.002,0.104,0.006,0.301,0.007
feige110,-0.138,0.005,0.062,0.005,-0.177,0.013
feige34,-0.161,0.008,0.038,0.049,-0.18,0.088
hd009051,0.536,0.006,0.16,0.008,0.395,0.013
hd031128,0.354,0.004,0.07,0.004,0.24,0.007
hd074000,0.314,0.007,0.063,0.013,0.302,0.031
hd106252,0.391,0.002,0.185,0.009,0.342,0.008
hd111980,0.372,0.006,0.11,0.016,0.288,0.039
hd128998,-0.007,0.001,0.159,0.004,1.082,0.006
hd159222,0.406,0.003,0.215,0.005,0.364,0.001
hd160617,0.343,0.004,0.06,0.012,0.332,0.043
hd185975,0.426,0.001,0.218,0.008,0.367,0.014
hd200654,0.461,0.001,0.034,0.008,0.28,0.013
hd209458,0.361,0.013,0.174,0.009,0.362,0.006
ksi2ceti,-0.027,0.007,0.143,0.007,0.972,0.013
sigori,-0.086,0.003,0.054,0.001,-0.084,0.003
wd0227_050,-0.065,0.003,0.259,0.03,-0.146,0.051
wd2149_021,-0.075,0.035,0.281,0.03,-0.237,0.004
wd2341_322,0.023,0.004,0.392,0.081,-0.22,0.113
