filtername,zp,zp_err,photon,vega,magmin,magmax,pivot,sigma_x
Geneva/Geneva.V,-21.0787,0.0033,False,True,1.8,11.9,5502.5,0.0114
AKARI/IRC.L18W,-48.5758,0.0331,False,False,6.1,10.6,195069.5,0.0617
AKARI/IRC.S9W,-48.5846,0.0129,False,False,4.5,11.8,90972.3,0.0514
Hipparcos/Hipparcos.Hp_MvB,-21.0011,0.0024,False,True,4.2,9.5,5507.0,0.0104
User/IUE.u320,-48.60,0.0,True,False,0,99,3224,0.043
User/IUE.u220w,-48.60,0.0,True,False,0,99,2221,0.043
User/IUE.u220n,-48.60,0.0,True,False,0,99,2149,0.043
GALEX/GALEX.FUV,-48.4677,0.0125,True,False,14.0,17.6,1535.1,0.0492
GALEX/GALEX.NUV,-48.5201,0.0191,True,False,14.0,17.8,2300.8,0.0918
SkyMapper/SkyMapper.u,-48.5993,0.0084,True,False,8.8,18.4,3493.3,0.0285
SkyMapper/SkyMapper.v,-48.5627,0.0064,True,False,8.8,19.4,3836.0,0.0192
GAIA/GAIA3.G,-21.4807,0.0013,True,True,4.2,18.7,6217.6,0.0079
GAIA/GAIA3.Gbp,-20.9542,0.0013,True,True,3.6,14.6,5109.7,0.0059
GAIA/GAIA3.Grp,-22.2210,0.0014,True,True,6.7,12.9,7769.0,0.0042
2MASS/2MASS.J,-23.7634,0.0041,False,True,5.3,15.0,12405.6,0.0148
2MASS/2MASS.H,-24.8335,0.0052,False,True,5.0,14.9,16489.9,0.0180
2MASS/2MASS.Ks,-25.9313,0.0062,False,True,4.9,15.1,21629.3,0.0296
WISE/WISE.W1,-27.7636,0.0126,False,True,4.2,16.8,33896.8,0.0336
WISE/WISE.W2,-29.0987,0.0163,False,True,5.2,15.0,46406.4,0.0562
WISE/WISE.W3,-32.9636,0.0108,False,True,4.2,12.7,125675.4,0.0521
TYCHO/TYCHO.B_MvB,-20.4062,0.0036,False,True,3.5,10.1,4211.9,0.0133
TYCHO/TYCHO.V_MvB,-20.9894,0.0032,False,True,3.7,9.7,5334.6,0.0141
by,0.5059,0.0011,False,True,-0.17,0.54,,0.0036
m1,-0.0895,0.0008,False,True,0.03,0.40,,0.0000
c1,-0.0761,0.0045,False,True,-0.24,1.09,,0.0186
PAN-STARRS/PS1.g,-48.5764,0.0037,True,False,12.2,18.4,4849.1,0.0180
PAN-STARRS/PS1.r,-48.5577,0.0281,True,False,12.6,18.8,6201.3,0.1405
PAN-STARRS/PS1.i,-48.5929,0.0076,True,False,12.6,19.1,7534.9,0.0369
PAN-STARRS/PS1.z,-48.5896,0.0049,True,False,11.9,19.0,8674.2,0.0233
PAN-STARRS/PS1.y,-48.6069,0.0029,True,False,12.8,16.3,9627.0,0.0084
